Phylum,Class,Order,Genus,Species,OTU,OUT_NUM
Arthropoda,Ostracoda,Halocyprida,Euconchoecia,cf. chierchiae S15-D7,Euconchoecia_cf. chierchiae S15-D7,1
Arthropoda,Ostracoda,Halocyprida,Mikroconchoecia,sp. Os099.1.2,Mikroconchoecia_sp. Os099.1.2,1
Chaetognatha,Sagittoidea,Aphragmophora,Aidanosagitta,neglecta,Aidanosagitta_neglecta,1
Chaetognatha,Sagittoidea,Aphragmophora,Pseudosagitta,lyra,Pseudosagitta_lyra,1
Chaetognatha,Sagittoidea,Aphragmophora,Sagitta,enflata,Sagitta_enflata,1
Chordata,Actinopterygii,Anguilliformes,Ophisurus,serpens,Ophisurus_serpens,1
Chordata,Actinopterygii,Beryciformes,Centroberyx,spinosus,Centroberyx_spinosus,1
Chordata,Actinopterygii,Blenniiformes,Parablennius,pilicornis,Parablennius_pilicornis,1
Chordata,Actinopterygii,Blenniiformes,Scartella,emarginata,Scartella_emarginata,1
Chordata,Actinopterygii,Callionymiformes,Callionymus,marleyi,Callionymus_marleyi,1
Chordata,Actinopterygii,Carangiformes,Decapterus,russelli,Decapterus_russelli,1
Chordata,Actinopterygii,Carangiformes,Trachurus,delagoa,Trachurus_delagoa,1
Chordata,Actinopterygii,Clupeiformes,Engraulis,japonicus,Engraulis_japonicus,1
Chordata,Actinopterygii,Clupeiformes,Etrumeus,sadina,Etrumeus_sadina,1
Chordata,Actinopterygii,Clupeiformes,Etrumeus,whiteheadi,Etrumeus_whiteheadi,1
Chordata,Actinopterygii,Clupeiformes,Sardinella,gibbosa,Sardinella_gibbosa,1
Chordata,Actinopterygii,Kurtiformes,Apogon,semiornatus,Apogon_semiornatus,1
Chordata,Actinopterygii,Ovalentaria,Chromis,dasygenys,Chromis_dasygenys,1
Chordata,Actinopterygii,Perciformes,Pomadasys,olivaceus,Pomadasys_olivaceus,1
Chordata,Actinopterygii,Perciformes,Pomadasys,striatus,Pomadasys_striatus,1
Chordata,Actinopterygii,Perciformes,Serranus,knysnaensis,Serranus_knysnaensis,1
Chordata,Actinopterygii,Pleuronectiformes,Cynoglossus,lida,Cynoglossus_lida,1
Chordata,Actinopterygii,Pleuronectiformes,Pseudorhombus,elevatus,Pseudorhombus_elevatus,1
Chordata,Actinopterygii,Scombriformes,Scomber,colias,Scomber_colias,1
Chordata,Actinopterygii,Scorpaeniformes,Cociella,heemstrai,Cociella_heemstrai,1
Chordata,Actinopterygii,Scorpaeniformes,Sorsogona,portuguesa,Sorsogona_portuguesa,1
Chordata,Actinopterygii,Spariformes,Spicara,australis,Spicara_australis,1
Chordata,Actinopterygii,Spariformes,Spondyliosoma,emarginatum,Spondyliosoma_emarginatum,1
Cnidaria,Hydrozoa,Siphonophorae,Diphyes,dispar,Diphyes_dispar,1
Cnidaria,Hydrozoa,Siphonophorae,Liriope,tetraphylla,Liriope_tetraphylla,1
Cnidaria,Hydrozoa,Siphonophorae,Muggiaea,atlantica,Muggiaea_atlantica,1
Cnidaria,Hydrozoa,Siphonophorae,Nanomia,bijuga,Nanomia_bijuga,1
Cnidaria,Scyphozoa,Semaeostomeae,Pelagia,noctiluca,Pelagia_noctiluca,1
Cnidaria,Scyphozoa,Semaeostomeae,Pelagia,panopyra,Pelagia_panopyra,1
Mollusca,Gastropoda,Cephalaspidea,Philine,aperta,Philine_aperta,1
Mollusca,Gastropoda,Neogastropoda,Nassarius,subtranslucidus,Nassarius_subtranslucidus,1
Mollusca,Gastropoda,Pteropoda,Creseis,acicula,Creseis_acicula,1
Mollusca,Gastropoda,Pteropoda,Creseis,virgula,Creseis_virgula,1
